날짜,nino3.4 index,ONI index,nino3.4 수온 평균,nino3.4 수온 평균(3개월),nino3.4 수온 평년평균,nino3.4 수온 표준편차
﻿1989년 11월,-0.62737,-0.456851,26.128922,26.220509,26.75629,1.177667
﻿1989년 10월,-0.556332,-0.561165,26.142616,26.15567,26.69895,1.01164
﻿1989년 09월,-0.499792,-0.587813,26.195477,26.155369,26.695267,0.834961
﻿1989년 08월,-0.707315,-0.589829,26.128014,26.334909,26.835327,0.818931
﻿1989년 07월,-0.56238,-0.647845,26.681238,26.600092,27.243618,0.677102
﻿1989년 06월,-0.673839,-0.717526,26.991026,26.86577,27.664865,0.627709
﻿1989년 05월,-0.916358,-0.983333,26.925049,26.775837,27.841408,0.614643
﻿1989년 04월,-1.359801,-1.2532,26.411436,26.344446,27.771236,0.657626
﻿1989년 03월,-1.483442,-1.448993,25.696854,25.757462,27.180296,0.817327
﻿1989년 02월,-1.503736,-1.677795,25.164095,25.103117,26.667831,1.007264
﻿1989년 01월,-2.046206,-1.871339,24.448402,24.708422,26.494608,1.164648
﻿1988년 12월,-2.064074,-2.132596,24.512766,24.47665,26.576839,1.219633
﻿1988년 11월,-2.287509,-2.143547,24.468782,24.533813,26.75629,1.177667
﻿1988년 10월,-2.079057,-1.769194,24.619892,24.947641,26.69895,1.01164
﻿1988년 09월,-0.941017,-1.495719,25.754251,25.247461,26.695267,0.834961
﻿1988년 08월,-1.467084,-1.399843,25.368244,25.524895,26.835327,0.818931
﻿1988년 07월,-1.79143,-1.681087,25.452188,25.566849,27.243618,0.677102
﻿1988년 06월,-1.784749,-1.669386,25.880116,25.913912,27.664865,0.627709
﻿1988년 05월,-1.431978,-1.27105,26.40943,26.488119,27.841408,0.614643
﻿1988년 04월,-0.596424,-0.662022,27.174812,26.935623,27.771236,0.657626
﻿1988년 03월,0.042336,-0.112943,27.222631,27.093512,27.180296,0.817327
﻿1988년 02월,0.21526,0.311417,26.883091,27.092327,26.667831,1.007264
﻿1988년 01월,0.676654,0.552569,27.171263,27.132328,26.494608,1.164648
﻿1987년 12월,0.765793,0.763732,27.342632,27.372978,26.576839,1.219633
﻿1987년 11월,0.848749,0.866352,27.605042,27.543711,26.75629,1.177667
﻿1987년 10월,0.984513,1.060993,27.683462,27.777828,26.69895,1.01164
﻿1987년 09월,1.349717,1.190651,28.044985,27.933832,26.695267,0.834961
﻿1987년 08월,1.237723,1.224018,28.073051,28.148756,26.835327,0.818931
﻿1987년 07월,1.084614,1.029134,28.328232,28.277071,27.243618,0.677102
﻿1987년 06월,0.765065,0.72952,28.42993,28.312817,27.664865,0.627709
﻿1987년 05월,0.338882,0.523962,28.180288,28.283131,27.841408,0.614643
﻿1987년 04월,0.467939,0.576657,28.239176,28.174303,27.771236,0.657626
﻿1987년 03월,0.92315,0.747801,28.103443,27.954256,27.180296,0.817327
﻿1987년 02월,0.852316,0.921276,27.520147,27.702187,26.667831,1.007264
﻿1987년 01월,0.988363,0.89943,27.482971,27.479191,26.494608,1.164648
﻿1986년 12월,0.857613,0.80128,27.434452,27.410526,26.576839,1.219633
﻿1986년 11월,0.557866,0.653262,27.314157,27.330622,26.75629,1.177667
﻿1986년 10월,0.544307,0.511128,27.243256,27.227964,26.69895,1.01164
﻿1986년 09월,0.431212,0.398948,27.126478,27.14213,26.695267,0.834961
﻿1986년 08월,0.221324,0.208344,27.056652,27.133081,26.835327,0.818931
﻿1986년 07월,-0.027505,-0.046708,27.216112,27.201229,27.243618,0.677102
﻿1986년 06월,-0.333944,-0.31423,27.330921,27.269066,27.664865,0.627709
﻿1986년 05월,-0.581242,-0.483146,27.260166,27.276024,27.841408,0.614643
﻿1986년 04월,-0.534251,-0.575721,27.236986,27.021925,27.771236,0.657626
﻿1986년 03월,-0.61167,-0.651965,26.568624,26.554489,27.180296,0.817327
﻿1986년 02월,-0.809973,-0.716325,25.857859,26.064587,26.667831,1.007264
﻿1986년 01월,-0.727331,-0.708658,25.767277,25.871101,26.494608,1.164648
﻿1985년 12월,-0.58867,-0.63217,25.988169,25.977076,26.576839,1.219633
﻿1985년 11월,-0.580508,-0.639783,26.175783,26.037577,26.75629,1.177667
﻿1985년 10월,-0.750171,-0.708026,25.948778,26.00881,26.69895,1.01164
﻿1985년 09월,-0.793399,-0.726078,25.901869,26.017103,26.695267,0.834961
﻿1985년 08월,-0.634664,-0.743991,26.200665,26.180746,26.835327,0.818931
﻿1985년 07월,-0.803909,-0.84809,26.439709,26.399845,27.243618,0.677102
﻿1985년 06월,-1.105699,-1.006268,26.559166,26.577028,27.664865,0.627709
﻿1985년 05월,-1.109197,-1.11893,26.73221,26.64024,27.841408,0.614643
﻿1985년 04월,-1.141895,-1.053069,26.629341,26.544579,27.771236,0.657626
﻿1985년 03월,-0.908114,-0.996926,26.272181,26.209528,27.180296,0.817327
﻿1985년 02월,-0.940769,-1.060456,25.727062,25.720455,26.667831,1.007264
﻿1985년 01월,-1.332486,-1.26982,25.162123,25.30994,26.494608,1.164648
﻿1984년 12월,-1.536204,-1.413795,25.040636,25.195452,26.576839,1.219633
﻿1984년 11월,-1.372697,-1.22787,25.383595,25.44949,26.75629,1.177667
﻿1984년 10월,-0.77471,-0.856427,25.924238,25.860409,26.69895,1.01164
﻿1984년 09월,-0.421875,-0.58062,26.273392,26.162561,26.695267,0.834961
﻿1984년 08월,-0.545274,-0.558384,26.290054,26.366354,26.835327,0.818931
﻿1984년 07월,-0.708003,-0.779492,26.535616,26.468445,27.243618,0.677102
﻿1984년 06월,-1.085199,-0.83652,26.579666,26.746777,27.664865,0.627709
﻿1984년 05월,-0.716357,-0.781637,27.125051,26.977531,27.841408,0.614643
﻿1984년 04월,-0.543356,-0.600622,27.22788,26.997025,27.771236,0.657626
﻿1984년 03월,-0.542153,-0.414138,26.638142,26.792316,27.180296,0.817327
﻿1984년 02월,-0.156905,-0.568359,26.510925,26.212551,26.667831,1.007264
﻿1984년 01월,-1.00602,-0.796868,25.488588,25.78289,26.494608,1.164648
﻿1983년 12월,-1.22768,-1.203768,25.349159,25.405479,26.576839,1.219633
﻿1983년 11월,-1.377603,-1.229252,25.378689,25.448109,26.75629,1.177667
﻿1983년 10월,-1.082472,-0.962588,25.616476,25.754248,26.69895,1.01164
﻿1983년 09월,-0.427689,-0.666702,26.267578,26.076481,26.695267,0.834961
﻿1983년 08월,-0.489944,-0.434771,26.345385,26.489965,26.835327,0.818931
﻿1983년 07월,-0.386681,-0.139156,26.856937,27.108782,27.243618,0.677102
﻿1983년 06월,0.459156,0.26126,28.124022,27.844557,27.664865,0.627709
﻿1983년 05월,0.711307,0.635261,28.552713,28.39443,27.841408,0.614643
﻿1983년 04월,0.73532,0.914678,28.506557,28.512323,27.771236,0.657626
﻿1983년 03월,1.297407,1.307962,28.477701,28.514416,27.180296,0.817327
﻿1983년 02월,1.891158,1.804194,28.558989,28.585106,26.667831,1.007264
﻿1983년 01월,2.224018,2.137283,28.718626,28.717043,26.494608,1.164648
﻿1982년 12월,2.296673,2.095003,28.873512,28.704248,26.576839,1.219633
﻿1982년 11월,1.764318,1.9594,28.520609,28.636761,26.75629,1.177667
﻿1982년 10월,1.817209,1.624779,28.516157,28.341616,26.69895,1.01164
﻿1982년 09월,1.292811,1.33568,27.988077,28.078861,26.695267,0.834961
﻿1982년 08월,0.897021,0.820998,27.732349,27.745735,26.835327,0.818931
﻿1982년 07월,0.273161,0.607854,27.516779,27.855791,27.243618,0.677102
﻿1982년 06월,0.653379,0.470003,28.318243,28.053301,27.664865,0.627709
